id,County,Population
17051,"Fayette County, Illinois",21565
17107,"Logan County, Illinois",29003
17165,"Saline County, Illinois",23994
17097,"Lake County, Illinois",701473
17127,"Massac County, Illinois",14219
17017,"Cass County, Illinois",12493
18069,"Huntington County, Indiana",36359
18181,"White County, Indiana",24149
18075,"Jay County, Indiana",20840
18145,"Shelby County, Indiana",44438
18153,"Sullivan County, Indiana",20730
18157,"Tippecanoe County, Indiana",191553
18057,"Hamilton County, Indiana",323117
18005,"Bartholomew County, Indiana",82481
18049,"Fulton County, Indiana",20096
18113,"Noble County, Indiana",47506
18019,"Clark County, Indiana",116507
18063,"Hendricks County, Indiana",163799
18053,"Grant County, Indiana",66452
18071,"Jackson County, Indiana",44025
18119,"Owen County, Indiana",20835
18183,"Whitley County, Indiana",33730
18023,"Clinton County, Indiana",32273
18161,"Union County, Indiana",7113
18029,"Dearborn County, Indiana",49479
18093,"Lawrence County, Indiana",45548
18123,"Perry County, Indiana",19102
18129,"Posey County, Indiana",25560
18015,"Carroll County, Indiana",20074
18045,"Fountain County, Indiana",16430
18149,"Starke County, Indiana",22952
18055,"Greene County, Indiana",32159
19011,"Benton County, Iowa",25636
19061,"Dubuque County, Iowa",96982
19151,"Pocahontas County, Iowa",6797
19177,"Van Buren County, Iowa",7150
19003,"Adams County, Iowa",3670
19009,"Audubon County, Iowa",5571
19051,"Davis County, Iowa",8920
19093,"Ida County, Iowa",6901
19135,"Monroe County, Iowa",7807
19167,"Sioux County, Iowa",34827
19025,"Calhoun County, Iowa",9744
19033,"Cerro Gordo County, Iowa",42834
19083,"Hardin County, Iowa",17061
19117,"Lucas County, Iowa",8583
19147,"Palo Alto County, Iowa",9003
19087,"Henry County, Iowa",19941
19099,"Jasper County, Iowa",36971
19157,"Poweshiek County, Iowa",18388
19043,"Clayton County, Iowa",17625
19017,"Bremer County, Iowa",24864
19063,"Emmet County, Iowa",9438
19081,"Hancock County, Iowa",10802
19097,"Jackson County, Iowa",19401
19111,"Lee County, Iowa",34227
19181,"Warren County, Iowa",50076
19123,"Mahaska County, Iowa",22164
19041,"Clay County, Iowa",16211
19055,"Delaware County, Iowa",17183
13005,"Bacon County, Georgia",11201
13025,"Brantley County, Georgia",18756
13017,"Ben Hill County, Georgia",17033
13033,"Burke County, Georgia",22520
13047,"Catoosa County, Georgia",66700
13053,"Chattahoochee County, Georgia",10560
13055,"Chattooga County, Georgia",24812
13073,"Columbia County, Georgia",150705
13087,"Decatur County, Georgia",26682
13115,"Floyd County, Georgia",97369
13117,"Forsyth County, Georgia",228383
13137,"Habersham County, Georgia",44626
13147,"Hart County, Georgia",25773
13185,"Lowndes County, Georgia",115364
13191,"McIntosh County, Georgia",14174
13199,"Meriwether County, Georgia",21106
13207,"Monroe County, Georgia",27171
13237,"Putnam County, Georgia",21691
13261,"Sumter County, Georgia",30064
13265,"Taliaferro County, Georgia",1611
13301,"Warren County, Georgia",5297
19185,"Wayne County, Iowa",6429
19163,"Scott County, Iowa",172446
20181,"Sherman County, Kansas",5938
20193,"Thomas County, Kansas",7810
20127,"Morris County, Kansas",5566
20163,"Rooks County, Kansas",5053
20025,"Clark County, Kansas",2026
20077,"Harper County, Kansas",5594
20111,"Lyon County, Kansas",33251
20145,"Pawnee County, Kansas",6629
20033,"Comanche County, Kansas",1740
20063,"Gove County, Kansas",2644
20079,"Harvey County, Kansas",34503
20093,"Kearny County, Kansas",3907
20113,"McPherson County, Kansas",28567
05041,"Desha County, Arkansas",11709
05049,"Fulton County, Arkansas",12231
05061,"Howard County, Arkansas",13311
05051,"Garland County, Arkansas",98555
05093,"Mississippi County, Arkansas",42126
05115,"Pope County, Arkansas",63761
05117,"Prairie County, Arkansas",8189
05139,"Union County, Arkansas",39449
05147,"Woodruff County, Arkansas",6533
05023,"Cleburne County, Arkansas",25100
05025,"Cleveland County, Arkansas",8128
05067,"Jackson County, Arkansas",17027
05057,"Hempstead County, Arkansas",21842
05135,"Sharp County, Arkansas",17139
05137,"Stone County, Arkansas",12475
05143,"Washington County, Arkansas",232289
05005,"Baxter County, Arkansas",41427
05003,"Ashley County, Arkansas",20270
05031,"Craighead County, Arkansas",107345
05055,"Greene County, Arkansas",44937
05105,"Perry County, Arkansas",10355
05111,"Poinsett County, Arkansas",23896
05133,"Sevier County, Arkansas",17081
05013,"Calhoun County, Arkansas",5192
05019,"Clark County, Arkansas",22386
05075,"Lawrence County, Arkansas",16549
05095,"Monroe County, Arkansas",7050
05029,"Conway County, Arkansas",20858
05101,"Newton County, Arkansas",7812
05001,"Arkansas County, Arkansas",17914
05085,"Lonoke County, Arkansas",72528
05015,"Carroll County, Arkansas",27965
05123,"St. Francis County, Arkansas",25900
05119,"Pulaski County, Arkansas",392967
06047,"Merced County, California",271382
06043,"Mariposa County, California",17420
06049,"Modoc County, California",8907
06013,"Contra Costa County, California",1142251
06027,"Inyo County, California",17977
06099,"Stanislaus County, California",543194
06083,"Santa Barbara County, California",444829
06103,"Tehama County, California",63912
06051,"Mono County, California",14310
06069,"San Benito County, California",60376
13029,"Bryan County, Georgia",37063
13035,"Butts County, Georgia",24090
13039,"Camden County, Georgia",53231
13079,"Crawford County, Georgia",12325
13099,"Early County, Georgia",10312
13069,"Coffee County, Georgia",43021
13077,"Coweta County, Georgia",143260
13123,"Gilmer County, Georgia",30414
13297,"Walton County, Georgia",91442
13317,"Wilkes County, Georgia",9844
13091,"Dodge County, Georgia",20829
13129,"Gordon County, Georgia",57202
13057,"Cherokee County, Georgia",247515
13113,"Fayette County, Georgia",112303
13177,"Lee County, Georgia",29502
13227,"Pickens County, Georgia",31387
13133,"Greene County, Georgia",17349
13075,"Cook County, Georgia",17177
13085,"Dawson County, Georgia",24536
13121,"Fulton County, Georgia",1036200
15001,"Hawaii County, Hawaii",199459
15003,"Honolulu County, Hawaii",984821
15007,"Kauai County, Hawaii",71769
15005,"Kalawao County, Hawaii",66
16031,"Cassia County, Idaho",23690
16063,"Lincoln County, Idaho",5350
16085,"Valley County, Idaho",10709
16041,"Franklin County, Idaho",13464
16069,"Nez Perce County, Idaho",40217
16055,"Kootenai County, Idaho",157322
16067,"Minidoka County, Idaho",20705
16083,"Twin Falls County, Idaho",84869
16013,"Blaine County, Idaho",22373
16015,"Boise County, Idaho",7378
16023,"Butte County, Idaho",2581
16047,"Gooding County, Idaho",15148
16001,"Ada County, Idaho",456849
